Channel,No,IDS,Fr_date,to_date,LINK
TV1,101,395,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/395.json
TV2,102,396,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/396.json
TV3,103,106,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/106.json
ASTRO_RIA,104,193,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/193.json
ASTRO_PRIMA,105,316,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/316.json
NTV7,147,93,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/93.json
TV9,149,48,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/48.json
ASTRO_AEC,306,182,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/182.json
ASTRO_CERIA,611,386,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/386.json
8TV,148,115,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/115.json
ASTRO_OASIS_HD,106,315,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/315.json
ASTRO_CITRA,108,301,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/301.json
ASTRO_RANIA,112,401,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/401.json
ASTRO_AURA,113,400,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/400.json
TV_ALHIJRAH,114,149,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/149.json
COLORS_HINDI,116,365,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/365.json
TVS,122,429,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/429.json
TV_OKEY,146,467,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/467.json
ASTRO_VAANAVIL,201,397,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/397.json
ASTRO_VINMEEN_HD,202,167,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/167.json
ASTRO_VELLITHIRAI,203,399,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/399.json
SUN_TV,211,358,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/358.json
SUN_MUSIC,212,417,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/417.json
ADITHYA,214,67,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/67.json
STAR_VIJAY,221,357,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/357.json
COLORS_TAMIL,222,298,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/298.json
ZEE_TAMIL,223,297,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/297.json
THANGATHIRAI,241,177,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/177.json
